EURONEXT/CAM,Cameleon Software (CAM)
EURONEXT/CNEL,Cairn Energy (CNEL)
EURONEXT/AN,Canal Plus(ste Ed) (AN)
EURONEXT/ALGIS,Global Investment (ALGIS)
EURONEXT/MLGOL,Golog (MLGOL)
EURONEXT/MALA,Grand Marnier (MALA)
EURONEXT/CAP,Capgemini (CAP)
EURONEXT/CAPBS,Capgemini Bsaar16 (CAPBS)
EURONEXT/GNKL,Greene King (GNKL)
EURONEXT/CARD,Cardety (CARD)
EURONEXT/CPRL,Carpetright (CPRL)
EURONEXT/GRONT,Grontmij (GRONT)
EURONEXT/OPNBS,Gropen Bsaar0914 (OPNBS)
EURONEXT/GRGL,Greggs (GRGL)
EURONEXT/ALGIL,Groupe Guillin (ALGIL)
EURONEXT/CGCBVH,Cargotec B (CGCBVH)
EURONEXT/CAS,Cast (CAS)
EURONEXT/MLGRC,Groupe Carnivor (MLGRC)
EURONEXT/CTRG,Catering Intl Sces (CTRG)
EURONEXT/CA,Carrefour (CA)
EURONEXT/CONV,Casino Guichard Nv (CONV)
EURONEXT/GOE,Groupe Gorge (GOE)
EURONEXT/GROHA,Groothandelsgebouw (GROHA)
EURONEXT/GET,Getlink Se (GET)
EURONEXT/FLO,Groupe Flo (FLO)
EURONEXT/CO,Casino Guichard (CO)
EURONEXT/CGLL,Catlin Group (CGLL)
EURONEXT/FNAC,Fnac Darty (FNAC)
EURONEXT/ALJEM,Groupe Jemini (ALJEM)
EURONEXT/OPN,Groupe Open (OPN)
EURONEXT/CGM,Cegedim (CGM)
EURONEXT/CCA,Cca International (CCA)
EURONEXT/CFEB,Cfe (CFEB)
EURONEXT/GCOE,Grupo Catalana Occ (GCOE)
EURONEXT/VIA,Groupe Vial (VIA)
EURONEXT/CEYL,Centamin Plc (CEYL)
EURONEXT/CFAO,Cfao (CFAO)
EURONEXT/ALCES,Cesar (ALCES)
EURONEXT/GUI,Guillemot (GUI)
EURONEXT/LTOM,Gtech Spa (LTOM)
EURONEXT/GUYD,Guy Degrenne (GUYD)
EURONEXT/ALMEO,Groupe Promeo (ALMEO)
EURONEXT/HLMAL,Halma (HLMAL)
EURONEXT/MLCVG,Ch Fer Var Gard N (MLCVG)
EURONEXT/CRI,Chargeurs (CRI)
EURONEXT/CHSR,Chausseria (CHSR)
EURONEXT/CIB,Cibox Inter A Ctiv (CIB)
EURONEXT/CC,Cic (CC)
EURONEXT/HMY,Harmony Cert (HMY)
EURONEXT/COMB,Cie Bois Sauvage (COMB)
EURONEXT/MLCMB,Cie Du Mont Blanc (MLCMB)
EURONEXT/HAV,Havas (HAV)
EURONEXT/HSTNL,Hansteen Holdings (HSTNL)
EURONEXT/HAMO,Hamon (HAMO)
EURONEXT/HASL,Hays (HASL)
EURONEXT/PIG,Haulotte Group (PIG)
